N,Должность,Язык.программирования,Специализация,Общий.опыт.работы,Опыт.работы.на.текущем.месте,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Город,Размер.компании,Тип.компании,Пол,Возраст,Образование,Университет,Еще.студент,Уровень.английского,Предметная.область,Дата.заполнения,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg,avg_by_Должность
3,Software Engineer,C#/.NET,,4,1,2500,800,Киев,до 1000 человек,Аутсорсинговая,мужской,26,Высшее,ДонНТУ,False,средний,"Веб-разработка,Корпоративные системы",12/06/2017 13:02:47,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,1.0,2500,,DEV,1883.371034198599,1678.630073800738
4,Software Engineer,JavaScript,,5,4,2000,400,Одесса,до 200 человек,Продуктовая,мужской,30,Среднее,,False,ниже среднего,"Desktop Applications,Веб-разработка",12/06/2017 13:03:01,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,4.0,2000,,DEV,1883.371034198599,1678.630073800738
5,Senior Software Engineer,JavaScript,,10 и более лет,0.5,4500,500,Другой,до 10 человек,Продуктовая,мужской,30,Техникум / Колледж,,False,средний,"Desktop Applications,Веб-разработка",12/06/2017 13:03:47,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",10.0,0.5,4500,,DEV,1883.371034198599,3243.2009259259257
7,Junior Software Engineer,C#/.NET,,1,меньше 3 месяцев,600,100,Хмельницкий,до 50 человек,Аутсорсинговая,мужской,23,Высшее,ХНУ [г. Хмельницкий],False,ниже среднего,Веб-разработка,12/06/2017 13:04:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,600,,DEV,1883.371034198599,605.65859375
8,Senior Software Engineer,C++,,6,1,3300,500,Киев,до 10 человек,Продуктовая,мужской,28,Высшее,НТУУ «КПИ»,False,выше среднего,Другое,12/06/2017 13:04:27,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,6.0,1.0,3300,,DEV,1883.371034198599,3243.2009259259257
9,Junior Software Engineer,Java,,0.5,0.5,550,550,Харьков,свыше 1000 человек,Аутсорсинговая,женский,23,Высшее,ХНУ им. Каразина,False,средний,Веб-разработка,12/06/2017 13:04:28,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,0.5,0.5,550,,DEV,1883.371034198599,605.65859375
12,System Architect,Scala,,10 и более лет,1,5600,1500,Киев,свыше 1000 человек,Аутстаффинговая,мужской,30,Высшее,НТУУ «КПИ»,False,выше среднего,Корпоративные системы,12/06/2017 13:05:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",10.0,1.0,5600,,SDEV,1883.371034198599,4387.076923076923
13,Software Engineer,Python,,1,меньше 3 месяцев,800,200,Киев,до 50 человек,Аутсорсинговая,мужской,26,Высшее,НТУУ «КПИ»,False,ниже среднего,"Веб-разработка,Другое",12/06/2017 13:05:54,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,800,,DEV,1883.371034198599,1678.630073800738
15,Software Engineer,Ruby/Rails,,3,1,2500,500,Киев,до 50 человек,Продуктовая,мужской,27,Высшее,Другой вуз,False,выше среднего,Веб-разработка,12/06/2017 13:06:32,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",3.0,1.0,2500,,DEV,1883.371034198599,1678.630073800738
16,Senior Software Engineer,JavaScript,,5,5,2900,300,Винница,до 200 человек,Аутсорсинговая,мужской,26,Высшее,ДонНТУ,False,продвинутый,Веб-разработка,12/06/2017 13:06:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,2900,,DEV,1883.371034198599,3243.2009259259257
